,xgb_standard,xgb_seasonal
h1,17927.5,17659.46725500897
h2,21444.9,21868.437886499036
h3,22964.6,23307.10136354035
h4,25670.5,24998.536590589807
h5,26324.4,26294.312268345293
h6,25146.2,27057.18432279641
h7,26014.9,25811.97913098828
h8,26265.3,25383.219756178427
h9,26055.0,25475.874819378372
h10,26544.5,26833.40891476027
h11,27527.5,27605.513655854207
h12,28264.6,27810.473954807476
h13,27894.0,26362.91528934444
h14,26759.2,27729.2424302073
h15,26118.1,27575.586118219075
h16,26339.4,28188.786040445655
h17,26164.8,27737.84459995619
h18,27720.7,29378.448841523717
h19,28168.4,29272.19849439896
h20,29022.2,30201.66878193776
h21,28985.4,29855.310776538223
h22,28993.7,29284.712250342225
h23,28781.8,30580.034722947734
h24,29823.4,30238.218079194143
mean,26455.0,26937.936514325094
